username,reviewDate,myCoding,,reviewText,rating
Apple User K,9/28/16,,,"1- Need better maps. Use Google street maps instead.2- Fix ruler movement for smaller increases amt in the radius (location).3- Adjust the display - vertical to horizontal views (and viceversa).4- Let select which contact's phone will be used, if more than one are available.",3
RogusAngel,10/1/16,,,"I like this app, I can keep aware of situations for my family spread across the country. I would only change the ability to type in the alert distance. The slide kept changing after I lifted my finger.",5
Poppetwa,10/5/16,,,"I used to really like and appreciate the Emergency Apps from the Red Cross. Now since the iOS 10 update, they don't work. I'll get an alert, but can't open it for details. Just crashes.",1
AnnetteKelley,10/6/16,,,Great app but need improvement to area codes instead of everywhere unless you want to be woken up every 5 mins. Please help with this !!Thanks,3
BellaNise,10/7/16,,,"I'm in Hurricane Matthew's path. Relatives are evacuating. Yet this app stopped all alerts today, the most crucial day to prep! Instead the home page says, ""All is well"" with a sunny drawing. This is antithetical to the REAL weather that's occurring here! I'm in the mandatory curfew zone with a projected Cat 4 hurricane. Unbelievably POOR & useless in a real emergency!",1
Dechico2004,10/7/16,,,"This group took in 500 million dollars in charity relief for Haiti and then used it to buy 6 whole houses. That money helped 11 individuals. Oh and a house in Haiti costs the price of the brick you use. Crime at its finest. Same as the Clinton Foundation, all Trump endeavors, Goodwill, and Walmart.",1
Thin wal,10/9/16,,,I thought this app would give me up to date info as to where I can get supplies Right Now! We are on day 2 without power or water. The news radio said Red Cross is here giving out supplies but I didn't hear where. I thought this app would have that info!!,1
BipolarWolf,10/10/16,,,Constant dings killing my battery how do I uninstall it,1
unknown8bit,10/18/16,,,Useless app now that it no longer loads any alerts.,1
Our own meadow,10/30/16,,,"I have this 1 star so I could leave a review. I'm an American Red Cross Volunteer and I will NOT recommend this app to anyone until it is reliable! I am going to contact our IT department Monday and see where this leads. I have to see this through because people depend upon the Red Cross, I feel awful that you have confided in us and we have let you all down. I see all it has the ability to do, all that is great! I like the ability to set boundaries, notify family, alert you about your home address or your current location. When it's fixed I will try again. Please accept MY apology as a Red Cross Volunteer, I am sorry for everyone's trouble. Keep watch and give us another try when it's fixed!",1
Sikung,11/17/16,,,Good job with the update guys now all it does is crash when you try to open itâ¼ï¸â¼ï¸â¼ï¸â¼ï¸â¼ï¸IMPSSIBLE TO USEâ¼ï¸,1
Jesse Richards Remodernist,11/16/16,,,New update crashes without opening on iPhone SE,1
onesweetsound,11/17/16,,,New version of the app crashes when I try to open it. Did a reset. Any suggestions?,1
EdJNC,11/17/16,,,Crashes when opening on iPhone 6 & iPad mini,1
Snowboarding Cat,11/19/16,,,I can't open the app because it keeps crashing me on my iPod touch 5.,1
PictishMonster,11/19/16,,,"This app was advertised in NZ, but the references are all to US locations. Can't pick a location to monitor on the map. Not user friendly.",1
Kensingtonian,11/20/16,,,Revise the 11/16 upgrade at once. The app is now useless.,1
Brian93063,11/23/16,,,"UPDATE: the latest app update corrected the crashing problem. The much anticipated new features are much appreciated and work flawlessly. --------EARLIER:I was thrilled to read the description of the most recent update, as it addressed many if not all of my concerns and then some. Sadly the app crashes constantly. How troubling at a time when there are weather warnings in my area. Please dig under the hood their folks, and straighten up that code. We're counting on you with our lives!",5
bindigok,12/7/16,,,"I have no problems with the iPhone app. But the Watch app never opens, just crashes. Makes it a less than useful app for me to use. I would use it again if they fixed the Watch app.",3
Laaaaaaacccccciiiii,12/16/16,,,The alerts always fail to load this app has never worked,1
DIMONDMAN246,12/16/16,,,This app is amazing keep up the good work ð,5
S mata,12/17/16,,,Great when it works. But only works when u check it. There is not point if it does not alert you because it fails to load.,2
JaneDoe789,12/28/16,,,"I like the idea of this app, but need improvement for the execution of it. For e.g., when using ""family safe,"" it just texts your family to see if they are safe or not; Doesn't provide the info on why I'm asking if they are safe or not (i.e. share details of emergency alert.) It's a problem because even if they are safe at the time, they could become in danger later if they aren't aware of what danger that might hit them. I would love to add extra info on why I'm using ""family safe"" to my family and inform them of the possible danger they might face.",2
RDKYLL,12/29/16,,,"Sorry but I can't seem to ever get this app to work. Can get notices, sound ect......    my other alert app works just fine. So this one goes into the delete cloud file. Sorry.",1
Markflickrpro,1/2/17,,,"Great idea, if the app were useable.Suggestion: have the developer sit down with a few users and see how to make the app user friendly.Example: after adding the first zip code and contact, it's impossible to get back to the main page to add another location and contact. ?? Seems like a very basic and necessary function. Is it possible that the app isn't designed to work on an iPad Pro?",1
Dillon250,1/9/17,,,"Why do I get alerts from Reno, Nv when I am on the East Coast?  Why wouldn't you be able to set a distance for your area and turn off other locations.  Quite annoying.",1
DrMiner,1/16/17,,,I find this app very helpful. Especially because I have multiple locations I want to be aware of.,5
iNormie,1/22/17,,,Please add location to the alerts. I track many locations but these alerts don't tell me where the alert is located.  This is a must-have request in my opinion. Thank you.,3
Subbinblazer,4/12/17,,,"This app is great, provides information that I need. This app is also accessible with the VoiceOver screen reader.",5
Cupcake21704,4/18/17,,,I wish you can Change the sound so that it sounds. Like Thor is an emergency,5
Guategirl14,4/23/17,,,Cannot even set up the app to use... just keeps closing down.,2
MHP1357,5/19/17,,,I love this app and all but I am no longer getting notifications on my phone anymore from this app,2
Rbo396,6/23/17,,,Best app online,4
Patty12345678,7/5/17,,,"This app does not send alerts or notifications to my phone which in turn makes it totally useless.  I see alerts on my iPad, but that doesn't help me if I'm in my car or at the store because my iPad is at home.  If it worked as the developers say it does, it would be exactly what people need.  But since it DOESN'T work, and even the developers can't seem to make it work - I'm sorry to say this but don't download this or any other of the related apps (I have them all and none of them send alerts or notifications).",1
Lgorden17,8/1/17,,,This app has everything base covered .,5
Mick Gator Fan,8/18/17,,,"OK on iPhone, but still has big problems on iPad.On iPad, the map now only shows open shelters in monitored areas.  No shelters, no map.  Want to track a hurricane on iPad?  Too bad.  Somebody goofed big time.",1
JeromeOz,8/23/17,,,This was a great app for the previous version.  I recently upgraded to the latest version. App version 1.5 will not allow you to send out messages and keep track of who responded. The previous version worked just fine. Any chance that you can revert this back? Stuck on the Thumbs up option only.  I've uninstalled and reinstalled.  Tested on a friends iPhone and same issue. I have a friend with the older version and all works just fine. Your help would be appreciated. Thanks.,2
Magdeline88,8/26/17,,,"App doesn't work anymore, keeps saying no internet connection or can't find location. Too bad it was my go to app for weather alerts.",1
KyloPhasma,8/26/17,,,It's okay,3
Clover Haire,8/26/17,,,I support it,4
Coolie T,8/30/17,,,"I think this app is so helpful in educating people by using the quizzes!  It's kind of fun, too, if you're ""competing"" with someone else to see who gets the most right answers! I also like being able to track where loved ones are in an emergency situation.",5
Sleever41,9/8/17,,,The latest version won't allow me to even open the app. It just crashes every time. I'll likely just delete it,1
Apple Fan JCE,9/9/17,,,"All day long I am being bombarded by Emergency Weather Alerts for cities in California, Arizona and Nevada that are more than 200 miles away. There are alerts every few minutes so I am going to have to remove the app and there doesn't seem to be a way to turn the distant alerts off.",1
Darcyhundley,9/9/17,,,I find this app difficult to use. Even setting up my locations is cumbersome.,3
CalifDude,9/10/17,,,"At some point I stopped getting notifications. And my saved info/locations disappeared. It'd be nice if there was iCloud backup. Otherwise, I love the app. Sleek and easy to use app, that's surprisingly comprehensive. Great to stay safe and in-the-know. No matter where you live, it covers important events in your area. Gives event-specific suggestions on how to prepare. Very well thought out design.",4
Niecy920,9/11/17,,,"I like that I have an app to alert me of ANY danger coming my way! We live near a flood zone AND a snow belt, not to mention all the severe thunderstorms! This app is awesome!!",5
Stepwild,9/15/17,,,Everyone should have this. The best for a variety of alerts. Highly recommend!,5
EdgeR1126,9/17/17,,,"Nice, clean layout, but it won't let me add locations overseas. It says it can't even find Tokyo. I'm military and I need to monitor places overseas. Please help or fix.",3
Eyeisasmart1,9/18/17,,,"I have a huge wildfire close enough that I have been notified of possible evacuation and this app only says ""all is well.""  I have notifications on and all the wildfire options selected.  I have my notification radius well within the limits of the fire and there is still nothing.  No notifications of any kind or hint that anything is amiss.  If this app worked it would be great!",1
Chipman the Big Bird,10/9/17,,,No alerts for anything unless I open the app. What happened to the Notifications feature? Useless app. App Needs a major updating and bugs fixed.,1
Sonoma Cate,10/16/17,,,"I uploaded this days before the October 2017 Northern California wildfires and set it for alerts for my city: Santa Rosa. As dozens of people died and 3,000 structures burned around me, I received no alerts from the app. When I opened the app, it reassured me that ""All is well"" and there were no alerts for my area. Thank goodness I was getting Nixle alerts from the county sheriff. This app should be removed from all sites where it is available.",1
Random_65143,11/22/17,,,"If this Emergency Alert app is supposed to be all-purpose, the Wildfire functionality needs to be beefed up.  Unfortunately the Red Cross ""Wildfire"" app no longer works under the new IOS, and, this all-purpose Emergency app doesn't handle fires adequately.   Think about the Napa area fires this last October-what the functionality the app could have had that would have made things better for people who, it turned out, had little or no warning to evacuate from the fast-moving fires.",3
Sunthebun1,12/26/17,,,It' a good app but I would like to see windchill advisories and warnings.,3
Pitbull2000,1/11/18,,,Still a great app. However push notifications do not appear to be working on my iPhone X. I share the account with my mom but so don't think that would affect anything since push notifications appear to be working for my other apps. Needs looking into.,3
i8lutfisk,1/16/18,,,"Good for various alerts like fires, snow, rain, earthquakes, hurricanes, etc., but needs work.It prompts you for people you care about in a particular town that you specify. But if you exit the app then those contacts are lost. Same with the ""I'm safe"" feature - great idea but in an emergency I want the contacts loaded and ready so I can just send loved ones the message that I'm alright. Those contacts aren't saved either. Otherwise good app.",3
Christine I.,1/17/18,,,"You would think, with the amount of people who use natural gas to heat their homes, there would be a checklist to prepare when there is a gas leak. Nope. It' the only one missing!! What sense does that make?! None!! Please add it!",3
Chessiekat,1/23/18,,,Nothing. I would have been dead in my sleep if The tsunami had come. I can't rely on this. Hasn't worked for earthquakes either.,1
sleepnclass,1/23/18,,,Constantly crashes on iPhone X on latest firmware.,1
Lady.CF,1/24/18,,,"I live in Southern California and with the potential for earthquakes, wildfires, and strong winds, I downloaded this app immediately after finding out about it in late November 2017.In the two months I've used it, I've found it is not reliable and not consistent, with some alerts being false information altogether. Specifically, during the first three weeks of December 2017, wildfires due to heavy winds were popping up every day all over SoCal. I had settings to alert me of all fire activity within 50 miles of my location. Frustratingly, I never received alerts for the wildfires that were within 50 miles of my home. Instead, I was receiving alerts for wildfires in Central and Northern California. Of course, I was attentive to local and regional news to be aware of any sudden evacuation orders. Still, it is a scary thought to think that this app is not providing the life saving alerts that it claims to do.In addition to the wildfires and others, I also set an alert for earthquakes with a 3.0 magnitude or higher. There was an earthquake in my region after Christmas that registered as a 3.5 and nope, no alert received. Not even a delayed alert.The only alerts that seem to be reliable and are correct are those for strong winds, winter windchill, and tsunami warning. I'll keep the app because it is better than nothing but I do really hope that it is fine tuned to provide correct and reliable data consistently. It could save lives.",2
RsTile,2/11/18,,,"This is a great app. It keeps me informed abt oncoming and current severe weather situations, and allows me to keep in touch with my family and friends. I love that it shows a weather radar and also if needed lists shelters I can go to in an emergency.",5
dont nuke me bro,2/12/18,,,So theoretically if there were a nuclear missile launched coming straight to us would this alert me ?,4
Ninobrown02,10/3/17,,,"Should include active shooter or terrorist type events. Was in Vegas this weekend when the mass shooting happened. So should be able to report information on events like that. Provide information such as collection points, relocation points, family check-in capability....",4
Jesus is my Savior!!!,3/27/17,,,"I love this app, and it's always been very functional! This a must-have and highly needed warning tool (tornadoes are all too common around my area). I definitely recommend this app! Plus, it alerts me when there are serious weather issues in the various places that my family and friends live. While I cannot speak for the others having issues with this app, I definitely sympathize with each of them! Living in a rural area, known for tornadic activity, I completely understand the importance of needing to know have accurate, timely reports regarding 'your weather activity' or that of your family or friends...ASAP! However, I haven't had any problems, and this app works perfectly for me! I have alerts set up to cover several locations, other than my own, with some that are 12-14 hours away, and so far, I've never had a single issue. I'm praying it stays this way too ðð»!",5
GrannaSAnne,2/14/17,,,"My location -- right now -- is under an ENERGENCY EVACUATION WARNING but the map shows absolutely NO weather problems even though area around me have already been evacuated! This would be a great back if it worked. Also I needed to add another location to ""watch"" and there is no easy way to add another location. I had to delete all of my children and start over in order to add another location!  Not cool considering this is in the middle of emergency evacuation preparation. That's ridiculous.  Not user friendly.",2
Shaysez,2/7/17,,,"So bad that I'm shocked. Apparently GREENWICH Ct does not exist in this system... Wow. Nothing works. Waste of time. Complete throw away app. So much promise, absolutely zero functionality.",1
Spencer E Holtaway,2/21/17,,,Not sure if it's the app or the NWS but I get 3 of the same alert for flash flood warnings every time.,3
Mememememeyouyou,2/20/17,,,"it is a very good app, i use it almost every day. yes there are a couple of bugs but honestly it works fine. the tests are a really good thing to add in there which is pretty clever to because it shows you what you know and how to prepare for it. ITS A GOOD APP GET IT.",5
daddysgirlqueen,3/1/17,,,No notifications doesn't deserve one star I have all the notifications for every category on for each individual location and I never received any notifications about the thunderstorm watch and the tornado watch that was in effect from last night until 5AM this morning.,1
jamiller6620,3/1/17,,,"Downloaded app because I moved to a new area of the country and there are tornado warnings and watches in effect. The app does issue alerts to my iPhone, but I have found three points of frustration: (1) the app automatically uses my current location. I set up my city as a location for when I travel away from my family but I receive double alerts for my city even after turning off and deleting the current location from my alerts. (2) When trying to view alerts, they do often do not load and I receive an error message. (3) I live in a city with Burroughs. When I expand the radius to cover the whole city, I receive multiple alerts for the same overlapping area.",2
varzen,3/22/17,,,"I'm travelling to South America next week where there are major floods. Im unable to add anything outside of the USA and my current location. This is useless as I want to be aware of issue ahead of time, Not when I'm in it!!!",1
Trizz de boss,3/21/17,,,"If there were more features I probably would have given this a higher Rating. One such feature would probably be the radar/map for weather. seeing what kind of weather we might get can be helpful. Also when I first got it I was looking for something specifically, if a nuke was launched, would it let me know? I don't think so. due to the progress of NK missile testing g I feel as if that's one thing I should be prepared for, and I also think that is something they should add.I do like how they can add other people  and the weather alerts, although I have not gotten one, because I literally just got it.",3
Joined2004,4/5/17,,,"The app works for general warnings, but they are very general. The one issue I have with it is that I cannot delete the old alerts showing in View Old Alerts. The response I got from the app folks is that ""...they don't take up much room on your device."" The point is, I don't need old alerts! Please fix this issue.",4
Vv224,3/18/18,Awareness,RM,"This app has notified me of weather changes 6-10 hours before local news.  Living in an area where hail, windstorms and flooding occur, this is incredibly helpful.  It gives you an opportunity to do things ahead of time.",5
Pete Mayhem,3/1/18,Awareness,,"I have family all over. Tell a region in the bulletins, so I know who is affected and don't just show an unrecognizable super zoomed in region of a map.",2
chris_arena,4/8/18,Interaction,,This app used to work. I no longer get any notifications. I can't trust it anymore.,1
Alpha1AF,4/20/18,Interaction,,"Can't permanently delete old apps all at one time and even if you delete them they all individually they come back even the mileage rate used to set your warning radar is not accurate, discouraging at best. Guess I expected more out of it' design.",1
djn1010et,5/4/18,Interaction,,"Sadly, had to dump this app for poor performance: failure to load even though my internet service is good and other apps load fine, and notifications tap pulled up a blank screen every time. Used to work great, don't know what happened to it.",1
Sunthebun1,4/25/18,Fidelity,RM,It' a good app but I would like to see windchill advisories and warnings. I would also like to have tornado watches and warnings be tested during severe weather awareness week for states that participate.,3
DF-28,4/16/18,NA,,"Excelente, instructiva y muy necesaria.",5
1Pumkin1,4/13/18,Interaction,,"The alert used to be noticeable, now feel lucky if I even hear it. No longer feel I can count on this app to warn me when necessary.",2
Stephdi,6/24/18,Awareness,RM,This app lets me keep up with my family all over. It gives me a peace of mind knowing that we can stay connected in bad weather!,5
